Calculus,Analytic Geometry And Algebra,Descriptive Statistics,Introduction To Algorithms,Generative Ai,Probability Theory,Discrete Math,Python,Introduction to Low Code,Applied Statistics,C Programming,Computer Science,Physics,Management,Numerical Methods,Logic,Information Theory,Architecture,Algorithms,C Sharp,Systems,Math For CS,Computer Networks,Human Computer Interaction,Machine Learning,Complexity,Databases,OOP,Data Structures,Systems Programming,Parallel Programming,Functional Programming,Probability And Statistics,Graph Theory,Theory Of Automata,Computer Graphics,Advanced Functional Programming % Abstract Data Type,Signal Processing,Software Engineering,Computer Security,Databases 2,Artificial Intelligence,Job_Title
2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,5,2,1,1,1,1,1,2,2,1,2,1,2,1,2,2,1,1,2,Product Design Intern
2,2,2,1,1,2,1,5,1,5,1,1,2,4,2,2,2,2,2,1,1,2,1,2,2,1,1,1,2,1,2,1,1,2,1,2,2,1,1,1,2,1,Data Processing Specialist
1,2,5,1,1,5,1,1,1,5,1,1,2,2,2,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,1,1,1,2,1,1,Applied Statistics Specialist
2,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,4,5,4,2,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,2,1,2,Verification Engineer
1,1,1,2,1,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,5,2,2,1,1,2,1,1,2,2,1,1,1,1,2,1,2,2,1,UX Research Assistant
2,2,1,3,1,1,2,5,4,2,1,2,2,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,2,QA Automation Assistant
1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,2,5,5,4,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,1,2,2,2,2,1,1,1,Verification Engineer
2,1,1,1,2,2,1,2,1,1,2,1,2,1,1,2,5,5,4,2,2,1,1,2,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,2,2,2,Verification Engineer
2,1,2,1,2,2,2,1,1,2,1,2,1,1,1,1,2,2,1,2,5,2,5,2,1,2,2,4,1,2,2,1,1,2,1,1,2,1,2,1,1,1,Cloud Engineering Intern
2,1,1,2,2,1,2,1,2,1,1,2,1,2,1,2,1,1,5,2,2,2,1,1,2,2,2,5,5,2,1,1,1,2,1,1,1,1,1,1,1,1,Backend Developer Intern
1,2,2,2,1,1,2,5,2,1,1,2,2,1,1,1,1,2,1,2,2,1,1,2,5,2,2,2,4,2,2,1,2,1,2,2,1,1,1,1,2,1,ML Model Testing Intern
1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,3,1,1,2,1,2,1,1,2,1,5,1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,Junior Database Administrator
2,2,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,2,2,5,1,5,1,2,2,1,2,5,1,2,2,2,2,2,1,1,1,2,1,2,1,1,Rendering Engineer
2,2,2,2,1,1,2,2,1,2,5,1,2,2,2,1,1,2,2,1,5,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2,Device Driver Engineer
1,2,1,5,2,1,4,5,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,1,Software Engineering Intern
2,2,2,2,2,2,2,1,1,2,5,2,1,1,1,2,2,5,2,2,5,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,Kernel / Systems Programmer
1,1,2,1,1,5,1,2,1,5,1,2,1,2,2,1,2,1,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1,2,Biostatistics Assistant
1,2,1,1,2,2,1,2,2,1,5,2,1,1,2,1,5,1,2,1,1,5,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,Digital Signal Processing (DSP) Engineer
1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,5,1,5,2,2,1,1,2,5,1,1,2,1,2,2,2,2,2,1,2,2,2,2,Rendering Engineer
5,4,4,2,1,2,2,1,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,Research Assistant
2,2,1,2,2,2,2,1,5,2,2,1,1,5,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,2,2,1,1,2,1,1,Technical Workflow Coordinator
1,1,1,1,2,2,1,2,2,2,2,1,1,2,1,1,1,1,2,2,5,1,5,2,1,2,1,1,2,2,2,1,2,1,1,1,1,2,2,1,1,1,Network Technician
1,2,5,1,2,4,1,2,1,5,1,1,2,2,1,1,2,1,1,1,1,2,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,Applied Statistics Specialist
1,2,5,2,1,5,2,1,1,5,1,2,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,1,2,1,2,2,1,2,1,1,1,1,1,2,2,2,Applied Statistics Specialist
2,1,1,1,1,4,1,5,1,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,5,2,2,1,1,2,1,2,2,2,2,1,2,2,2,1,1,1,Computer Vision Engineer
2,1,1,1,2,1,2,2,2,2,1,1,1,2,1,1,2,2,2,1,1,2,1,5,1,1,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,UI/UX Designer
1,2,2,1,2,1,2,2,1,1,5,1,2,1,2,1,4,5,2,2,1,2,2,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,ASIC Design Engineer
1,1,1,2,1,2,1,2,2,2,5,1,2,1,1,2,1,5,2,2,5,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,1,Kernel / Systems Programmer
2,2,1,5,1,1,4,5,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,1,2,1,1,1,1,2,2,1,2,Software Engineering Intern
1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,1,5,2,1,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,2,UX Research Assistant
2,2,1,2,2,1,1,1,4,2,2,1,2,4,2,1,3,1,2,2,1,1,2,2,2,1,2,2,1,2,2,1,2,1,2,2,1,1,1,2,2,2,Technical Product Coordinator
1,1,2,2,2,2,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,2,1,5,1,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,2,1,Product Design Intern
1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,5,1,5,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,Linux Support Technician
1,2,1,1,1,1,2,2,1,2,1,2,1,1,2,1,1,1,1,5,1,5,1,1,1,2,1,5,2,1,2,1,1,1,1,2,1,1,2,2,1,1,Rendering Engineer
1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,5,5,4,2,1,1,2,2,1,1,2,2,1,2,1,2,2,2,2,2,1,1,2,1,1,2,Verification Engineer
1,1,1,2,2,1,1,4,1,1,1,2,2,5,1,2,3,1,1,2,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,1,Junior Technical Consultant
2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,5,2,1,1,5,1,2,2,5,1,2,1,1,1,1,2,1,1,2,1,2,2,1,1,Distributed Systems Engineer
1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,4,2,1,1,5,2,2,1,2,2,2,1,1,2,1,2,1,2,2,1,Distributed Systems Engineer
2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2,2,5,1,1,2,5,1,2,2,5,1,2,2,1,2,2,2,1,2,1,2,1,2,1,2,Distributed Systems Engineer
2,2,2,2,2,2,2,2,4,2,2,2,1,5,2,2,3,2,2,1,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,Technical Product Coordinator
1,1,5,2,1,5,2,4,2,1,2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,1,2,2,2,2,Insurance Data Assistant
2,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,2,2,5,1,1,1,1,2,1,4,2,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,Graph Algorithms Engineer
2,1,1,2,2,2,2,1,1,1,2,1,1,2,2,2,5,5,4,2,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,Verification Engineer
1,2,5,2,2,5,2,1,2,5,2,2,1,2,1,2,1,2,1,2,2,2,2,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,Applied Statistics Specialist
5,4,4,2,2,2,1,2,1,1,2,2,2,1,2,1,2,2,1,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,1,2,2,2,2,1,Research Assistant
2,2,1,1,2,2,1,2,1,2,5,1,2,1,2,1,2,5,2,2,5,1,1,2,1,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,2,Kernel / Systems Programmer
2,2,2,2,1,2,1,2,2,2,5,1,1,1,1,1,5,1,1,1,2,5,2,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,2,1,2,Digital Signal Processing (DSP) Engineer
1,1,1,1,2,1,2,1,1,1,5,2,1,2,2,2,1,4,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,C Programming
2,2,2,5,2,2,4,5,2,1,1,1,2,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,Software Engineering Intern
2,2,4,1,2,1,2,1,1,5,1,2,1,2,4,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,2,1,2,2,2,1,1,2,Junior Statistical Analyst
2,2,2,2,1,2,1,2,2,1,5,1,1,2,1,1,1,5,2,1,5,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,2,2,1,1,2,Operating Systems Developer
2,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,2,2,4,5,2,1,2,1,2,1,2,5,1,1,2,1,1,2,2,1,1,2,2,1,2,2,C# Developer
2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,5,2,4,1,2,2,1,2,5,2,2,1,2,1,2,2,2,1,1,1,1,2,1,Graphics Programmer
1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,2,5,2,5,2,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1,1,2,2,Network Technician
1,1,1,5,1,1,4,5,2,1,2,2,1,1,1,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2,1,1,1,2,1,2,1,Software Engineering Intern
1,2,1,5,1,1,4,5,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,1,1,Software Engineering Intern
1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,5,1,4,1,1,2,2,2,5,1,2,1,1,1,1,1,2,2,1,1,1,2,2,Graphics Programmer
2,1,5,1,1,2,2,4,4,1,2,2,2,2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,Data Quality Analyst
1,2,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,5,1,1,5,1,5,1,2,1,1,2,2,1,2,1,2,2,2,1,2,1,1,1,2,2,Systems Engineer
2,1,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,5,5,1,1,2,5,2,1,1,2,1,2,1,1,2,1,1,1,1,2,2,1,High-Performance Computing (HPC) Engineer
2,2,2,5,1,2,4,5,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,1,1,Software Engineering Intern
1,1,2,1,2,1,2,5,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,5,1,2,2,4,1,2,2,1,1,2,1,2,2,2,2,1,2,ML Model Testing Intern
1,2,5,2,1,5,2,1,2,5,1,1,2,2,2,1,2,1,1,1,2,2,1,2,1,1,1,2,1,1,2,1,2,2,1,1,2,2,2,1,2,1,Applied Statistics Specialist
1,1,2,2,1,2,2,1,1,1,5,1,1,2,2,2,2,1,1,1,5,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,1,1,1,1,1,1,Device Driver Engineer
1,2,5,2,2,5,1,1,2,5,1,1,1,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,Applied Statistics Specialist
1,1,1,4,2,2,2,5,4,1,1,1,1,1,2,2,1,1,2,1,1,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,2,2,2,2,QA Automation Assistant
2,2,2,1,2,2,2,1,1,1,5,2,1,1,1,1,1,5,1,1,5,1,2,1,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,Kernel / Systems Programmer
1,1,2,5,1,1,4,5,2,2,1,1,2,1,2,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,1,1,2,2,Software Engineering Intern
1,1,2,1,2,2,1,1,2,2,1,1,1,2,1,2,1,2,5,1,2,1,1,1,2,1,2,5,5,1,2,1,2,1,2,2,1,1,2,1,2,1,Backend Developer Intern
1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,5,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,2,1,Product Design Intern
